"construction_era","zoning_land_use_regulation","property_age","has_basement","neighborhood_quality","exterior_condition","central_air","basement_finish_type","lot_size","num_floors","square_feet","bedrooms","bathrooms","total_rooms","garage_capacity","has_fireplace","sale_price"
"1980-1999","Restrictive",94.6556211699767,"Yes","Very_High","Excellent","Yes","None",46732.952233347,3,6774.67687447239,8,7.82755456324302,13,"None","No",1621653.00423708
"1920-1949","Very_Permissive",109.565833818249,"Yes","Very_High","Excellent","Yes","Full",28596.8417907215,3,4211.90253754918,6,7.93034838813389,2,"Double","No",1618854.0843897
"Pre-1920","Moderate",108.605216679869,"Yes","High","Excellent","Yes","Partial",8056.64500875161,3,2382.98037156269,4,7.32110421980868,5,"Triple","Yes",545868.040782323
"2000_Present","Moderate",108.139520901286,"Yes","Medium","Average","Yes","Partial",7205.11528009175,2,2544.03443902324,2,7.04786183330319,4,"Double","Yes",312315.994631679
"1980-1999","Restrictive",104.105963529396,"Yes","Low","Average","Yes","Partial",9711.2416240223,1,1577.8909805563,2,7.59909237986733,3,"Single","No",296973.261042442
"1980-1999","Moderate",101.046724155397,"Yes","Medium","Average","Yes","None",5035.37560141001,1,1626.62975046866,1,7.7694538517736,5,"Single","No",286736.204298949
"1920-1949","Moderate",109.690786847641,"Yes","Medium","Good","Yes","Full",17809.0877967003,4,3806.67449969316,4,7.63154833307219,4,"Double","No",1009092.04769262
"2000_Present","Very_Restrictive",105.749180925796,"Yes","Low","Average","Yes","Full",3020.21345327229,1,1345.51073223865,1,7.14347319025786,3,"Single","Yes",272743.510372035
"Pre-1920","Permissive",95.3558205192285,"Yes","Very_High","Average","Yes","None",21578.3047066427,1,2393.36864832828,2,7.59430912013246,5,"Double","Yes",836198.007515517
"1920-1949","Permissive",107.177683493433,"Yes","Very_High","Fair","Yes","Full",19438.0396548296,4,3165.53690130976,3,7.33379360924206,6,"Single","Yes",677284.978615307
"2000_Present","Very_Permissive",101.35374071583,"Yes","High","Fair","Yes","Full",4130.41663465149,1,2087.83405408674,2,7.87097009115798,3,"Single","Yes",407994.406833343
"1980-1999","Very_Restrictive",107.135568981392,"No","Very_Low","Good","Yes","None",4830.35480952393,3,1698.41347617149,1,7.46060133402092,2,"Double","Yes",370829.393772417
"1980-1999","Moderate",106.223951288176,"Yes","High","Poor","Yes","None",5736.877044472,2,2404.99866928234,0,7.92967303552149,9,"Double","No",514630.733435311
"1920-1949","Moderate",109.799241233709,"No","Medium","Good","Yes","None",9833.44723123931,1,2292.46067155408,4,7.91089692188133,5,"None","Yes",425130.48243625
"1980-1999","Restrictive",106.557867401529,"Yes","Very_Low","Good","Yes","Full",2406.38398501127,2,2757.61414758886,3,6.6000946425406,10,"Double","Yes",298492.31301473
"1950-1979","Moderate",104.597607571198,"Yes","Medium","Average","Yes","Full",10171.9416661619,1,1865.86925686873,0,7.74912562287338,6,"Double","Yes",467548.418980079
"1950-1979","Moderate",93.6135475469456,"Yes","High","Average","Yes","None",11401.9023293201,1,2284.81237411832,4,6.51576736398083,5,"Double","No",792560.386896034
"1950-1979","Moderate",106.35673017926,"Yes","Very_High","Good","Yes","Full",35425.8464239803,1,4623.38844973646,8,7.6304680752842,8,"None","Yes",1276107.14731706
"1980-1999","Moderate",104.653354101392,"Yes","Medium","Good","Yes","Full",16306.8251578777,3,2407.07748554117,1,7.75943426661536,8,"Single","Yes",461615.69788715
"1950-1979","Permissive",109.5893409373,"Yes","Medium","Good","Yes","Full",13318.9212935064,1,2070.97650446656,1,7.96959338131435,2,"Single","Yes",413319.658954451
"2000_Present","Restrictive",90.5833562615218,"Yes","Medium","Average","Yes","Partial",15222.1263392161,3,4041.08814440362,2,7.8264919430452,8,"Single","Yes",534367.791599572
"1950-1979","Permissive",97.8248028026375,"Yes","High","Good","Yes","Full",6264.66337552186,4,3431.32387891846,7,7.50486395323284,3,"Double","No",1493854.8910157
"2000_Present","Moderate",107.348235345143,"Yes","High","Average","Yes","Partial",6801.48636800141,1,3569.75938118181,3,6.82360692764282,9,"Double","No",622978.69072892
"2000_Present","Permissive",98.6591057595173,"No","High","Poor","No","Partial",8694.90159297561,2,1887.76806079437,4,6.84972704324862,4,"Double","Yes",583918.013767678
"1920-1949","Restrictive",102.14785522484,"Yes","High","Average","Yes","Full",19031.0227799749,1,2146.5107132055,2,7.49853340901948,6,"Double","Yes",517045.292984287
"1950-1979","Permissive",108.530115646513,"No","Low","Average","Yes","None",6770.20115420591,1,2450.84754043484,2,7.05965715860295,6,"Double","No",376381.122451943
"1980-1999","Very_Restrictive",106.86759955651,"Yes","Medium","Average","Yes","Full",12426.9424694828,1,2522.98926147752,4,7.22852846032662,4,"Double","Yes",459392.40410765
"1980-1999","Moderate",99.9817444994037,"Yes","Medium","Excellent","Yes","Full",16868.9830595011,3,2856.03575946488,3,7.78544845019509,5,"Double","Yes",559503.927824477
"2000_Present","Moderate",108.896006659152,"Yes","Very_High","Average","No","Partial",9769.14752682333,2,1728.52882955327,1,7.61967520811533,3,"Single","Yes",498256.112479724
"Pre-1920","Moderate",108.763653219795,"Yes","High","Fair","Yes","None",19258.1677057632,1,1513.36673404862,0,7.2149998780139,4,"Double","No",380977.281976336
"1980-1999","Moderate",106.052569878618,"No","Medium","Average","Yes","None",11987.9276397275,3,2507.3552374215,3,7.70594819448217,4,"Double","Yes",448734.82990944
"Pre-1920","Very_Permissive",95.2696896689493,"Yes","Medium","Average","Yes","Full",5954.61418670385,2,2647.18849090023,6,7.39497979099355,4,"Triple","Yes",431247.937093926
"1920-1949","Moderate",108.404247280191,"Yes","Very_High","Fair","Yes","Partial",36910.7310120586,1,4351.34465315481,7,7.25327283114734,7,"Triple","Yes",1323963.68345041
"1950-1979","Very_Permissive",99.2488952194716,"Yes","Very_High","Average","Yes","Full",11428.1510564279,3,2992.53549111285,5,7.71844490986082,2,"None","Yes",636069.636550911
"Pre-1920","Very_Permissive",104.872495588125,"No","High","Excellent","Yes","None",14559.5639706121,1,2636.8179814881,3,7.84914012760243,7,"Single","No",423893.522407335
"1950-1979","Moderate",109.045019288019,"Yes","High","Fair","Yes","Full",20945.0328422,1,2426.225768733,3,7.98217503075467,4,"Single","Yes",675764.325782528
"1980-1999","Very_Permissive",105.333884762577,"Yes","Very_High","Excellent","Yes","Full",35384.7035828743,1,2717.55875895104,2,7.98256806419715,7,"None","Yes",1170938.86602996
"1980-1999","Moderate",103.262411010758,"Yes","Medium","Excellent","Yes","Full",4180.48490209712,1,1927.85777962377,5,7.70336487667541,2,"Single","Yes",483915.960877516
"1980-1999","Restrictive",107.593640890677,"Yes","High","Average","Yes","Partial",6621.23336824945,1,2304.94925036425,1,6.90567235532989,4,"Single","Yes",657293.735032578
"1950-1979","Permissive",101.726067726594,"Yes","High","Average","Yes","Full",5310.6427386623,1,1739.69539066994,1,7.72169964338423,3,"Double","Yes",449718.399230031
"2000_Present","Moderate",104.964471068788,"Yes","Medium","Average","No","Full",3512.21823205303,3,2430.71933776842,3,7.9991040980021,3,"None","Yes",470657.797176363
"1950-1979","Permissive",94.3479625640349,"Yes","High","Average","Yes","Full",8796.10094158552,3,2272.08148143724,1,7.59207560277478,3,"Single","No",590533.014127775
"1950-1979","Permissive",103.366148368578,"Yes","Very_High","Good","Yes","Full",37877.9509030977,2,3776.06794219583,0,6.97484485939909,5,"Single","Yes",1198447.04808791
"2000_Present","Very_Restrictive",97.266346768477,"Yes","Very_Low","Excellent","Yes","Partial",5469.20451722964,3,2247.54954000935,1,7.34933596761986,6,"Quad","Yes",302211.398142952
"2000_Present","Restrictive",96.6228885588967,"No","Medium","Good","Yes","None",6439.00024082647,4,3007.49718984133,5,7.59089010733985,2,"Quad","Yes",586147.588569206
"1980-1999","Moderate",105.947793014483,"No","Medium","Average","No","Partial",8062.07263889655,2,1599.82789313813,5,7.63055614502723,6,"None","Yes",394734.36971791
"1950-1979","Permissive",108.806663907807,"No","High","Poor","Yes","None",5654.85859919526,3,2115.739154361,3,7.4046745397733,4,"Triple","Yes",460322.77308225
"Pre-1920","Very_Permissive",98.9462842687439,"No","Very_High","Average","Yes","None",12880.87881883,2,2546.81978411641,2,7.43147331289877,3,"Double","Yes",514528.368765869
"1950-1979","Restrictive",109.829989790161,"Yes","Very_Low","Average","Yes","Full",3830.49866014195,1,2019.47242392578,2,7.94216199710767,2,"Single","Yes",321222.825848774
"1980-1999","Very_Permissive",106.251049923603,"Yes","Very_High","Average","No","Partial",14229.6733172636,2,2015.17447522585,0,7.19595368697474,9,"None","No",366687.438044806
"1950-1979","Moderate",108.722611921385,"Yes","High","Fair","Yes","Partial",26718.2574125475,1,3790.22020800718,7,7.01041257812431,5,"Double","Yes",1055621.03960104
"2000_Present","Permissive",100.072635623514,"Yes","Medium","Good","No","Partial",27833.2518367762,3,4538.18915258517,9,7.16811702320368,9,"Double","Yes",892123.0297712
"2000_Present","Moderate",108.763284217368,"Yes","Low","Fair","Yes","Partial",5235.41040922483,1,2136.46311511128,4,7.90476668824816,5,"Single","Yes",381470.712843526
"1950-1979","Moderate",103.894773319469,"Yes","Medium","Good","Yes","Partial",14014.5642319139,1,1935.36786236418,5,7.82720408948426,6,"Double","Yes",404053.313137409
"1950-1979","Very_Restrictive",101.235396325024,"Yes","Very_Low","Excellent","Yes","Partial",3490.64038544899,1,2012.58567062606,1,7.52761497566904,12,"Double","Yes",340400.982658262
"2000_Present","Very_Restrictive",109.884609028203,"Yes","Low","Average","No","Full",7386.32187869378,1,2001.85824358027,4,7.50823135989662,5,"None","No",455289.269334287
"2000_Present","Moderate",105.408003782017,"Yes","High","Good","Yes","Partial",15520.1105056482,4,3701.63266374645,7,7.15222999166213,5,"Double","Yes",1003403.80513965
"2000_Present","Permissive",92.5847311348988,"No","Medium","Excellent","Yes","None",19923.2593434712,1,2362.29626253876,7,7.48918439192458,10,"Triple","Yes",340091.273145101
"2000_Present","Restrictive",105.371043673527,"Yes","Low","Average","No","Partial",3685.2189002898,3,1446.86884334682,0,7.39191837451887,2,"Double","Yes",336704.13098707
"1980-1999","Restrictive",107.348034026665,"Yes","Very_High","Fair","Yes","Full",26093.0681262303,2,4115.79793018427,8,7.16976793228248,9,"Single","Yes",1269229.18065085
"2000_Present","Very_Restrictive",107.545874834763,"Yes","Very_Low","Fair","No","Full",5704.86841894741,2,2199.42961501354,1,6.59551715888273,3,"Single","Yes",256210.395194663
"1950-1979","Restrictive",98.4753073438917,"No","Medium","Average","Yes","None",21264.703884389,3,5071.93669733861,10,7.09634791429165,10,"Triple","Yes",1299037.74802373
"2000_Present","Moderate",102.726396565778,"Yes","High","Average","No","Full",19827.4157720762,1,2303.22692418566,6,7.69540087826139,3,"None","No",717643.964677999
"1980-1999","Restrictive",99.290094117977,"Yes","Low","Good","No","Full",4053.54971090156,1,1899.14054012394,1,5.5136877768833,4,"Single","Yes",534698.070277179
"1980-1999","Permissive",99.4399736801467,"Yes","Very_High","Average","No","None",37229.7317875685,4,4210.85231470799,6,7.76142644492178,10,"Triple","No",1403598.73671243
"2000_Present","Permissive",106.777419686965,"Yes","Medium","Excellent","Yes","Full",6834.44894486632,1,2421.93420307813,2,7.97198010309466,6,"Single","No",641844.284378461
"1980-1999","Moderate",104.340859654678,"Yes","Low","Fair","No","None",3676.68568934795,2,1721.57333492384,0,7.72595988357632,2,"Single","Yes",266501.925601858
"2000_Present","Moderate",109.73673627786,"No","High","Excellent","Yes","None",15297.1673764247,1,3313.79851907694,4,7.68027559883619,4,"Triple","No",670279.207810247
"1980-1999","Permissive",109.9824563781,"Yes","Medium","Average","Yes","Partial",3643.07285370473,1,2205.70395807189,2,7.24683596603936,5,"None","Yes",376996.430318408
"1950-1979","Moderate",108.335076726638,"Yes","Medium","Good","Yes","Partial",24481.782878836,2,3612.63155773762,2,7.19211224061956,3,"Triple","Yes",543964.656376476
"1950-1979","Moderate",103.209571780483,"No","High","Average","Yes","None",21503.5935868248,1,1972.77321765271,1,7.90117660952379,8,"Double","No",613025.27335952
"1980-1999","Very_Restrictive",108.819880940094,"Yes","Very_Low","Good","Yes","Partial",5291.48619990894,2,2086.09857418746,2,7.6269792271813,8,"None","Yes",186315.359408409
"2000_Present","Moderate",108.642581338823,"Yes","Medium","Excellent","Yes","None",14253.9355388861,2,1904.23795324567,0,7.69319287164284,12,"Triple","Yes",486452.036926756
"2000_Present","Moderate",108.132175357142,"Yes","Medium","Good","No","Partial",9248.49964774129,1,1733.94726468815,5,7.90225858873118,8,"Double","No",386294.78380148
"2000_Present","Very_Permissive",88.8966077153176,"Yes","High","Good","No","Partial",21781.1824688862,3,4025.04746520885,7,7.04822603777412,10,"Single","Yes",357922.450430118
"1980-1999","Moderate",103.58434392807,"Yes","Medium","Average","Yes","Full",10519.1382200669,1,2562.40267472698,3,7.98138101767151,2,"Single","Yes",512458.576183205
"1950-1979","Very_Restrictive",109.9895839985,"No","Medium","Average","Yes","None",10204.4927547691,3,2374.98176201499,2,7.69521213535572,2,"None","Yes",261172.618476821
"2000_Present","Permissive",107.815380414794,"Yes","High","Good","Yes","None",13537.6574551091,2,2778.74205010966,3,7.82752212570451,2,"Single","No",809043.604144438
"2000_Present","Moderate",91.5739977533734,"Yes","High","Good","Yes","Full",36615.0750317914,1,3447.96797580083,3,7.4400363803781,7,"Single","Yes",726394.031936366
"1920-1949","Permissive",107.286784689585,"No","Very_High","Average","Yes","None",15113.0523908264,3,3612.24391804479,7,7.62450267689557,4,"Double","No",1016145.88512633
"1920-1949","Permissive",106.04802498327,"No","Very_High","Excellent","Yes","None",28501.8633430891,1,2495.15213947528,4,7.22522414993131,3,"None","Yes",431689.882804014
"1950-1979","Moderate",105.983819122164,"Yes","Low","Average","Yes","Partial",4905.43360168377,4,2675.71761874893,1,7.7139850449751,6,"Single","No",339387.009629029
"1980-1999","Very_Permissive",105.379588110558,"Yes","High","Good","Yes","Full",9222.10119063779,3,3100.17766343379,4,7.69696205808287,3,"Single","No",954308.695654404
"1980-1999","Permissive",88.9698049270755,"Yes","Medium","Average","Yes","Full",9016.75940048598,1,1524.76671636088,5,7.72817726753067,4,"None","No",338551.2634044
"1950-1979","Restrictive",104.2706163798,"No","Medium","Good","Yes","None",4884.78996592345,1,1544.72903482313,3,6.83772458582667,2,"Single","Yes",237024.609527429
"1950-1979","Moderate",109.121493718795,"Yes","Medium","Average","Yes","Partial",3121.21646847802,1,1617.29662618793,1,7.32337282355406,4,"None","Yes",256625.085531164
"1950-1979","Restrictive",91.1165053026034,"No","Low","Fair","Yes","None",4998.76601387969,1,1894.017315965,7,6.09738047299465,3,"Triple","Yes",313783.021305252
"2000_Present","Moderate",107.363071169439,"Yes","Medium","Good","Yes","Partial",16713.4617170758,4,2364.09282375751,5,7.46558718844463,5,"None","Yes",401289.603643442
"2000_Present","Permissive",96.8880389863236,"Yes","Medium","Good","Yes","Full",9705.29849978424,2,2099.80680208497,1,7.72749664252097,5,"Quad","Yes",560886.458789944
"1980-1999","Permissive",102.958236204032,"Yes","Very_High","Good","No","Partial",62083.5467784366,2,5195.87474421953,5,6.49354543529619,6,"Double","No",1229696.03615728
"1920-1949","Moderate",109.021548136751,"Yes","Low","Average","Yes","None",3377.12752815496,2,1970.21881361804,1,7.83889303124524,5,"Single","No",332395.146475999
"Pre-1920","Very_Restrictive",107.564984586534,"Yes","Very_Low","Poor","Yes","None",2647.81422510997,2,1755.63742161924,1,7.71486940897218,4,"Single","Yes",238158.108914229
"1950-1979","Permissive",106.085476898287,"Yes","Medium","Average","Yes","Full",12023.7655632243,1,1803.66728544415,3,6.60242053633857,2,"Double","Yes",304432.775739311
"1950-1979","Moderate",97.4204068455444,"Yes","Very_High","Poor","Yes","Full",8291.21937251073,1,2599.28126904981,9,7.78476128951413,5,"Double","Yes",771139.091573663
"1980-1999","Moderate",104.879571798382,"Yes","High","Average","Yes","Partial",5403.86755694988,3,1699.74724740382,1,7.28143366834363,3,"Single","Yes",373789.605747274
"2000_Present","Moderate",100.926308910306,"Yes","Medium","Good","Yes","None",14550.5387571865,4,3541.34194541475,8,6.98856111470843,6,"None","Yes",772373.901653183
"1950-1979","Restrictive",106.780115833899,"No","Medium","Excellent","Yes","None",13875.7026939279,3,1836.99407267525,4,7.97733919994212,5,"Single","Yes",504073.057096625
"1950-1979","Moderate",68.7251023030762,"No","Medium","Average","Yes","None",8352.84277132428,2,1971.16480818745,1,7.93034472195933,3,"Single","No",323002.203936214
"1950-1979","Moderate",106.163910850072,"Yes","Very_Low","Good","No","Partial",4676.14698640591,1,1301.76539326138,4,7.00178534402759,2,"Double","Yes",399897.325429085
"1980-1999","Permissive",108.983568656105,"Yes","High","Poor","Yes","Full",10504.9504969681,1,1737.06845801583,3,7.18484206814779,5,"Double","No",376147.459515587
"1980-1999","Restrictive",105.993168565438,"Yes","Very_Low","Average","Yes","Partial",4856.3256037907,2,1856.83888162916,1,7.91950769833276,9,"Double","Yes",197905.891644211
"1980-1999","Moderate",106.684584633342,"Yes","Medium","Poor","Yes","Partial",14460.0558713308,4,4027.99183788877,3,7.37619529461558,8,"Single","No",492794.435195035
"2000_Present","Very_Permissive",108.122104450506,"Yes","High","Fair","Yes","Partial",13017.8633787345,1,1926.40620998672,3,5.24234380891099,2,"None","No",341764.324596486
"1980-1999","Very_Restrictive",106.229739425269,"Yes","Medium","Fair","Yes","Full",6342.22228613215,1,1985.02718723109,1,7.84888198363465,2,"Double","No",312714.306900194
"1950-1979","Permissive",107.847920058531,"Yes","Very_High","Average","Yes","Partial",17519.0193263602,2,2175.40936789342,1,6.60584776403421,3,"Single","Yes",479368.639822691
"1950-1979","Restrictive",99.9249020606947,"Yes","Very_High","Excellent","Yes","Full",27412.30253213,2,2856.3147422806,0,7.64076143435014,5,"Single","No",687370.130786791
"1980-1999","Moderate",109.274300147027,"Yes","High","Good","Yes","Full",24992.8732315593,2,3023.5457662393,6,7.48143257839033,2,"Double","Yes",803264.564064589
"1980-1999","Moderate",89.8682305591321,"Yes","Medium","Average","No","Partial",4826.11153313852,2,1722.51736350767,7,7.48550081883517,7,"Double","Yes",378809.709440569
"1980-1999","Restrictive",104.674974617344,"Yes","Low","Average","Yes","None",2817.43018976931,1,1870.36237524204,1,6.78440370240552,5,"Double","Yes",236422.313974981
"1980-1999","Permissive",109.247882318132,"Yes","Very_High","Good","Yes","Partial",12877.3637810066,3,2196.99444378297,2,7.69566897846115,4,"Single","No",675438.18914876
"1950-1979","Very_Permissive",106.907686207248,"No","High","Good","Yes","Partial",8759.29138518632,1,3030.41654423227,1,7.34366430629306,6,"Single","Yes",694150.145188158
"1980-1999","Moderate",97.8109449457903,"Yes","Very_High","Excellent","Yes","None",16300.5862208135,2,3348.46587783869,9,6.03193041619109,4,"Double","No",656745.693953054
"1920-1949","Permissive",84.8449025774361,"No","Medium","Good","Yes","None",26194.5829348859,2,4496.90035538063,6,7.52340764292778,7,"Double","No",560919.224413807
"Pre-1920","Moderate",105.393000845283,"No","Medium","Poor","Yes","None",2731.24412748299,2,2103.30655629255,4,7.91970102043242,7,"Double","Yes",243647.064111415
"2000_Present","Moderate",109.269744339463,"Yes","Very_Low","Good","Yes","None",3518.24391244555,1,1655.10785256788,0,7.2884044208734,3,"Single","Yes",247721.344774181
"1950-1979","Restrictive",99.621303615306,"No","High","Fair","Yes","None",8179.48777939676,3,2733.87424566046,4,6.52124467276861,2,"Quad","Yes",621514.601046975
"1920-1949","Moderate",108.602385505892,"No","Medium","Good","Yes","None",7212.87493414535,1,2186.29148259864,1,7.44589520531219,2,"Single","Yes",248885.764027975
"1950-1979","Permissive",102.986794483811,"No","High","Average","Yes","None",10404.0230513907,3,2403.92625827112,2,7.62489248198709,2,"Single","No",590825.233794
"1950-1979","Permissive",104.134141458104,"Yes","Medium","Poor","Yes","Full",7235.66967989696,2,2272.80669408467,4,7.69224821315519,3,"Double","Yes",611051.526823741
"1920-1949","Permissive",106.706349071837,"No","Very_High","Average","Yes","Full",32988.6603657214,1,3931.77974514671,7,7.68012316470114,5,"Single","Yes",863412.943613563
"1920-1949","Moderate",109.797410242922,"Yes","Low","Good","Yes","Full",7498.9540043049,2,2614.208112241,0,7.86326042802258,6,"Double","No",559958.818183949
"1980-1999","Restrictive",106.943493214242,"Yes","Low","Average","Yes","Partial",5437.66460850235,2,1337.80750879951,2,7.92201014314322,7,"Single","No",261074.396849551
"1950-1979","Permissive",103.897261482015,"No","Very_High","Good","Yes","None",57843.0852736149,4,8843.28970539124,7,7.94885842054605,11,"Double","Yes",1960364.44576229
"2000_Present","Moderate",101.412416722476,"Yes","Very_High","Average","No","Full",7321.22179039872,1,1862.15783375706,3,7.68695245814348,4,"Double","Yes",620156.807566789
"1950-1979","Permissive",106.918429917375,"Yes","Low","Good","Yes","Full",13862.7766296225,2,2969.18457627747,6,7.76777458960652,6,"Double","Yes",555062.810592314
"1950-1979","Very_Permissive",91.1576947073185,"Yes","Very_High","Good","Yes","None",17016.1155847546,1,2896.01307644664,2,7.33458457035713,6,"Double","No",864500.119528317
"2000_Present","Moderate",91.4682112511653,"Yes","Very_Low","Good","No","Partial",11534.8498579723,3,2115.08799968237,1,7.44060827354275,3,"None","No",246514.159058552
"2000_Present","Moderate",89.8974209701175,"Yes","Low","Good","No","None",4449.69874710205,1,1372.30378911337,0,7.27748428891138,3,"None","Yes",223084.283636463
"1980-1999","Permissive",106.211946831289,"Yes","Medium","Average","Yes","None",6771.49649323759,1,1449.97653711579,1,7.57714330571099,3,"Single","Yes",314543.043273181
"1950-1979","Permissive",106.139696302419,"Yes","Very_High","Good","Yes","Partial",23683.2431811179,1,2782.93760964002,4,7.71322000615126,8,"Double","Yes",804094.775832187
"1950-1979","Permissive",99.9641834806093,"Yes","Medium","Good","Yes","Full",23623.4033835279,2,2486.7512384274,5,6.71981057078305,3,"Triple","Yes",416168.997747977
"1950-1979","Moderate",106.617075049126,"No","Medium","Good","Yes","Partial",19925.5282447972,2,4068.3372903687,3,7.92017566385177,10,"Single","Yes",756287.446675193
"2000_Present","Very_Permissive",100.245509167619,"No","High","Excellent","Yes","Partial",12450.3013514263,1,2243.93415398253,0,7.25203264627462,4,"Single","Yes",761589.734530687
"1920-1949","Restrictive",103.481100773882,"Yes","Medium","Average","Yes","Partial",6417.01468571467,1,1798.11438233852,3,7.50313963238,8,"Single","No",350525.461378747
"2000_Present","Restrictive",109.775428839466,"Yes","High","Excellent","No","Partial",11189.7107094928,1,3634.08989309882,6,7.97453746262784,6,"None","Yes",939180.157203337
"2000_Present","Moderate",104.648005156371,"Yes","Medium","Fair","No","Full",7912.98179177758,2,1893.40274710106,5,7.62451751871697,3,"Double","No",386612.524293812
"1950-1979","Moderate",109.117713775826,"Yes","High","Average","Yes","None",7973.10929135767,3,3576.33008499045,6,7.94708739475093,5,"None","No",890089.074162073
"1980-1999","Moderate",108.650224799237,"Yes","High","Average","Yes","Partial",4503.55031659061,1,1715.19952475113,3,6.95736280872465,4,"Double","Yes",476111.651005864
"1950-1979","Restrictive",100.663530238153,"No","Very_High","Excellent","Yes","Partial",22498.8022251945,3,2740.2344070395,3,7.70882522962279,5,"Double","Yes",1395390.80292861
"1980-1999","Permissive",104.540505192085,"Yes","Medium","Excellent","Yes","Full",23866.2054286812,4,2291.38405777835,3,7.39439922242654,2,"Double","No",305682.657540855
"1950-1979","Moderate",108.719041364362,"No","Very_High","Average","Yes","None",11984.9978451796,3,2368.32149127791,4,7.7188742681883,2,"Single","Yes",494904.584965346
"1950-1979","Very_Restrictive",109.456147550496,"Yes","Low","Good","Yes","Full",2830.21269207404,2,2025.98961788253,2,7.37121160751057,5,"None","Yes",346354.676621846
"2000_Present","Restrictive",108.706861531764,"Yes","Medium","Good","Yes","Full",5216.20271152584,2,1858.55182110994,5,7.99764202030239,3,"Double","No",342397.178321647
"2000_Present","Very_Restrictive",108.299046705135,"Yes","Very_Low","Average","No","Partial",3243.77608574867,2,1660.02784197638,1,7.55032735201383,2,"Double","Yes",187357.972576245
"2000_Present","Moderate",107.546940320146,"Yes","Medium","Good","Yes","Full",7501.66773995075,2,1927.11240579922,2,7.97791905228183,3,"Double","No",483933.719743538
"1950-1979","Restrictive",103.812248693441,"Yes","Very_High","Average","No","Partial",10902.4546764721,1,2863.79550741771,2,7.34853189133532,7,"None","Yes",805533.795868029
"1920-1949","Very_Restrictive",105.413934235041,"Yes","Low","Poor","Yes","None",5153.56716387397,4,4661.84777752414,8,7.51661234322859,12,"Double","No",476352.120363301
"1980-1999","Very_Permissive",103.603625845766,"No","Very_High","Good","Yes","None",23245.7283664716,3,2308.31349790946,4,6.98183670654468,3,"Double","Yes",569153.967373353
"1950-1979","Moderate",106.58358523074,"No","High","Average","Yes","Partial",13868.1804839425,1,2104.75340865764,1,7.54512093032974,6,"Double","Yes",493202.922430331
"2000_Present","Very_Permissive",106.218314361015,"Yes","Low","Excellent","Yes","Partial",5365.29100071769,1,1660.84941419946,0,7.57402769445155,4,"Single","No",264278.013058615
"1980-1999","Restrictive",108.457352176462,"Yes","Low","Good","Yes","Full",15990.7097049708,1,2708.15923345324,1,7.19581728462569,4,"Triple","Yes",650028.586554963
"2000_Present","Moderate",99.288658660498,"Yes","Medium","Excellent","No","Full",12008.2681227887,1,2270.29360479313,10,7.71954599911606,2,"Single","No",458678.468502429
